Date,Price,Open,High,Low,Vol.,Change %
7-Aug-13,601.20,609.95,614.35,600.00,5.69M,0.01
8-Aug-13,610.50,604.00,617.50,600.00,5.12M,0.02
12-Aug-13,602.20,610.05,610.80,598.65,3.93M,0.01
13-Aug-13,620.50,603.85,624.80,598.15,3.68M,0.03
14-Aug-13,621.35,622.00,623.65,608.65,3.58M,0.00
16-Aug-13,587.90,614.00,622.00,584.90,7.01M,0.05
19-Aug-13,584.70,587.00,588.60,570.30,5.00M,0.01
20-Aug-13,584.75,574.95,589.90,566.50,6.43M,0.00
21-Aug-13,593.35,606.00,619.35,590.00,7.23M,0.01
22-Aug-13,588.70,589.00,603.70,570.00,7.56M,0.01
23-Aug-13,607.55,592.00,609.15,588.30,5.17M,0.03
26-Aug-13,611.30,612.35,622.80,602.55,3.65M,0.01
27-Aug-13,561.90,597.30,600.00,555.45,13.68M,0.08
28-Aug-13,561.95,555.70,572.00,528.00,9.27M,0.00
29-Aug-13,572.05,568.00,582.50,568.00,10.19M,0.02
30-Aug-13,594.00,571.00,600.00,570.65,9.15M,0.04
2-Sep-13,589.50,598.00,604.35,582.50,4.88M,0.01
3-Sep-13,562.55,596.90,596.90,557.05,4.54M,0.05
4-Sep-13,564.05,567.45,576.85,559.15,5.24M,0.00
5-Sep-13,609.50,584.00,622.90,584.00,8.31M,0.08
6-Sep-13,616.20,611.00,620.00,586.75,4.75M,0.01
10-Sep-13,638.00,620.55,641.00,618.40,5.07M,0.04
11-Sep-13,647.25,633.00,650.00,625.55,3.17M,0.01
12-Sep-13,633.95,642.50,646.00,627.60,4.42M,0.02
13-Sep-13,629.20,632.45,634.50,621.00,3.88M,0.01
16-Sep-13,642.80,637.50,648.90,629.00,3.03M,0.02
17-Sep-13,642.25,638.00,645.00,633.60,2.11M,0.00
18-Sep-13,650.50,643.60,654.90,631.15,2.75M,0.01
19-Sep-13,683.20,680.00,689.90,676.30,7.32M,0.05
20-Sep-13,659.05,682.50,686.45,635.25,6.18M,0.04
23-Sep-13,641.95,651.00,652.35,633.10,3.50M,0.03
24-Sep-13,638.45,633.05,644.35,629.95,4.54M,0.01
25-Sep-13,620.60,638.00,641.70,613.20,5.25M,0.03
26-Sep-13,621.15,621.35,626.00,618.00,5.65M,0.00
27-Sep-13,608.90,622.00,624.00,605.00,4.10M,0.02
30-Sep-13,593.05,606.00,612.85,587.70,4.27M,0.03
1-Oct-13,611.65,598.80,614.40,589.35,3.25M,0.03
3-Oct-13,636.20,615.30,639.00,610.00,2.44M,0.04
4-Oct-13,640.45,635.50,647.40,635.00,3.41M,0.01
7-Oct-13,634.30,636.50,638.15,618.25,2.48M,0.01
8-Oct-13,632.65,650.50,654.55,625.80,2.94M,0.00
9-Oct-13,649.15,625.20,650.90,623.00,2.17M,0.03
10-Oct-13,641.05,649.00,649.00,633.35,2.09M,0.01
11-Oct-13,661.30,647.30,663.75,639.35,3.35M,0.03
14-Oct-13,667.50,657.55,669.30,648.65,3.09M,0.01
15-Oct-13,652.45,673.00,675.00,646.60,4.04M,0.02
17-Oct-13,654.20,653.00,659.95,642.55,3.64M,0.00
18-Oct-13,676.60,655.25,679.55,655.25,5.32M,0.03
21-Oct-13,671.25,674.00,678.80,662.55,2.81M,0.01
22-Oct-13,669.00,671.00,673.95,665.20,2.19M,0.00
23-Oct-13,660.20,669.00,669.00,653.80,3.39M,0.01
24-Oct-13,669.30,656.20,675.75,656.20,3.08M,0.01
25-Oct-13,672.55,665.25,674.95,663.15,2.24M,0.00
28-Oct-13,667.90,673.00,675.00,665.40,2.10M,0.01
29-Oct-13,686.50,668.00,689.00,655.55,3.81M,0.03
30-Oct-13,679.35,686.00,687.50,675.75,2.55M,0.01
31-Oct-13,680.80,676.20,685.05,673.40,4.55M,0.00
1-Nov-13,683.80,681.60,688.00,678.20,3.91M,0.00
5-Nov-13,676.25,680.45,685.00,673.00,3.56M,0.01
6-Nov-13,668.90,678.90,679.20,665.25,1.15M,0.01
7-Nov-13,665.40,670.00,677.50,656.90,1.95M,0.01
8-Nov-13,652.50,663.40,667.65,644.65,3.37M,0.02
11-Nov-13,654.25,644.00,660.70,616.70,2.80M,0.00
12-Nov-13,645.95,652.55,663.05,643.35,2.25M,0.01
13-Nov-13,633.70,639.00,647.45,628.35,2.64M,0.02
14-Nov-13,642.20,638.00,649.90,638.00,3.16M,0.01
18-Nov-13,668.80,651.40,670.00,649.05,3.72M,0.04
19-Nov-13,660.05,668.40,668.40,657.45,1.70M,0.01
20-Nov-13,649.55,656.70,659.00,646.40,2.09M,0.02
21-Nov-13,637.65,644.55,645.60,635.15,3.20M,0.02
22-Nov-13,642.15,642.50,646.90,635.10,1.87M,0.01
25-Nov-13,659.75,648.05,661.75,648.05,4.04M,0.03
26-Nov-13,652.95,657.70,659.90,648.40,3.62M,0.01
27-Nov-13,653.55,651.10,658.75,644.10,2.15M,0.00
28-Nov-13,653.40,655.60,663.00,648.05,3.69M,0.00
29-Nov-13,661.30,655.00,668.90,655.00,2.39M,0.01
2-Dec-13,661.30,662.00,665.00,658.05,1.71M,0.00
3-Dec-13,655.75,660.00,662.20,652.65,2.57M,0.01
4-Dec-13,657.60,654.90,659.55,653.45,2.62M,0.00
5-Dec-13,688.10,671.55,689.90,671.55,8.00M,0.05
6-Dec-13,682.70,684.90,689.60,678.25,4.02M,0.01
9-Dec-13,696.65,710.00,717.40,692.55,6.32M,0.02
10-Dec-13,696.70,692.35,701.85,690.00,6.27M,0.00
11-Dec-13,695.55,690.10,701.80,686.90,3.07M,0.00
12-Dec-13,695.20,693.20,700.55,690.50,3.22M,0.00
13-Dec-13,689.95,687.80,702.00,685.00,6.33M,0.01
16-Dec-13,684.35,688.00,690.90,681.20,5.36M,0.01
17-Dec-13,657.60,675.65,675.65,654.05,4.49M,0.04
18-Dec-13,666.25,650.50,680.65,649.55,3.52M,0.01
19-Dec-13,652.55,679.00,683.95,650.40,2.50M,0.02
20-Dec-13,664.60,657.80,668.60,650.10,1.43M,0.02
23-Dec-13,664.45,658.00,671.50,657.00,1.38M,0.00
24-Dec-13,657.30,665.55,666.50,655.05,888.67K,0.01
26-Dec-13,669.05,659.85,672.20,656.90,2.01M,0.02
27-Dec-13,669.65,664.10,675.45,664.10,1.37M,0.00
30-Dec-13,669.50,676.80,677.00,665.15,1.06M,0.00
31-Dec-13,665.85,672.10,672.30,660.10,1.32M,0.01
1-Jan-14,665.15,668.00,669.80,663.00,1.12M,0.00
2-Jan-14,657.00,665.00,674.75,653.55,1.81M,0.01
3-Jan-14,663.10,652.00,666.00,650.00,1.63M,0.01
6-Jan-14,661.70,663.00,663.00,657.00,1.49M,0.00
7-Jan-14,664.40,667.10,670.95,653.30,1.97M,0.00
8-Jan-14,664.70,665.20,666.95,660.00,1.16M,0.00
9-Jan-14,662.95,663.20,666.05,657.10,944.37K,0.00
10-Jan-14,662.05,662.95,674.70,656.30,1.54M,0.00
13-Jan-14,672.85,660.10,676.95,656.90,1.19M,0.02
14-Jan-14,672.30,669.05,676.00,668.30,894.28K,0.00
15-Jan-14,680.55,673.00,682.70,669.60,1.16M,0.01
16-Jan-14,673.05,684.40,685.00,670.35,1.13M,0.01
17-Jan-14,665.00,675.00,675.00,659.05,10.84M,0.01
20-Jan-14,670.05,668.10,676.70,666.40,1.40M,0.01
21-Jan-14,676.10,672.95,678.80,670.00,1.56M,0.01
22-Jan-14,677.10,675.50,684.70,674.65,1.76M,0.00
23-Jan-14,679.50,675.00,681.10,672.75,1.37M,0.00
24-Jan-14,673.40,670.00,674.95,663.70,2.21M,0.01
27-Jan-14,649.20,664.90,664.90,645.60,4.27M,0.04
28-Jan-14,644.45,648.00,656.00,638.60,4.60M,0.01
29-Jan-14,645.45,647.50,650.90,640.55,2.74M,0.00
30-Jan-14,631.80,637.50,639.90,627.65,2.86M,0.02
31-Jan-14,628.50,630.00,636.30,625.10,2.41M,0.01
3-Feb-14,626.50,629.95,634.00,625.10,1.19M,0.00
4-Feb-14,630.60,621.65,635.50,616.80,1.85M,0.01
5-Feb-14,637.45,631.00,639.80,625.10,1.73M,0.01
6-Feb-14,647.00,638.75,649.60,629.50,3.37M,0.02
7-Feb-14,647.75,652.40,654.50,642.10,1.01M,0.00
10-Feb-14,643.90,647.65,650.15,636.00,1.57M,0.01
11-Feb-14,644.80,646.00,647.15,639.30,1.12M,0.00
12-Feb-14,645.45,646.60,652.80,643.65,1.61M,0.00
13-Feb-14,632.50,646.00,648.00,631.25,788.80K,0.02
14-Feb-14,641.80,634.00,643.85,629.35,1.06M,0.01
17-Feb-14,650.40,642.00,652.00,641.10,912.53K,0.01
18-Feb-14,660.40,648.50,664.40,647.40,1.25M,0.02
19-Feb-14,670.05,656.20,672.25,655.00,1.02M,0.01
20-Feb-14,662.75,665.80,667.45,660.85,862.11K,0.01
21-Feb-14,664.40,659.85,669.60,659.70,760.97K,0.00
24-Feb-14,671.00,662.10,673.00,655.75,1.25M,0.01
25-Feb-14,671.10,674.00,676.00,666.00,1.01M,0.00
26-Feb-14,677.40,670.00,679.20,668.55,1.14M,0.01
28-Feb-14,669.60,682.00,682.90,665.15,1.23M,0.01
3-Mar-14,666.20,665.20,672.00,663.20,919.61K,0.01
4-Mar-14,671.70,666.00,673.85,664.25,1.61M,0.01
5-Mar-14,669.75,673.50,675.00,662.50,1.00M,0.00
6-Mar-14,675.60,673.00,677.70,668.10,1.24M,0.01
7-Mar-14,711.45,679.60,714.90,676.20,5.69M,0.05
10-Mar-14,734.45,706.50,736.90,700.00,6.53M,0.03
11-Mar-14,725.15,734.50,740.00,719.55,3.25M,0.01
12-Mar-14,725.55,721.25,733.00,716.50,1.78M,0.00
13-Mar-14,742.35,727.50,749.50,727.50,2.86M,0.02
14-Mar-14,732.15,735.00,739.90,724.00,3.05M,0.01
