Date,Price,Open,High,Low,Vol.,Change %
09-Jan-18,940.95,928.15,943.90,924.00,6.53M,0.01
10-Jan-18,942.35,943.00,947.40,935.50,5.36M,0.00
11-Jan-18,937.75,941.80,942.65,935.00,3.59M,0.00
12-Jan-18,949.00,943.00,952.80,938.25,6.89M,0.01
15-Jan-18,949.15,950.00,958.50,945.20,5.08M,0.00
16-Jan-18,922.95,947.70,947.70,920.00,4.95M,0.03
17-Jan-18,924.50,926.00,929.00,907.00,6.04M,0.00
18-Jan-18,919.70,929.00,929.60,915.10,4.29M,0.01
19-Jan-18,931.30,923.00,934.40,922.10,4.56M,0.01
22-Jan-18,971.50,948.00,974.30,940.00,20.89M,0.04
23-Jan-18,983.25,975.00,990.95,975.00,10.30M,0.01
24-Jan-18,966.35,981.75,981.75,962.65,6.53M,0.02
25-Jan-18,965.90,967.90,972.00,956.15,6.25M,0.00
29-Jan-18,964.50,966.20,977.30,959.30,4.52M,0.00
30-Jan-18,950.40,965.80,965.80,949.00,4.20M,0.01
31-Jan-18,961.30,950.00,964.50,941.55,5.74M,0.01
01-Feb-18,943.85,963.25,972.60,936.60,7.55M,0.02
02-Feb-18,904.35,935.00,943.95,901.00,13.24M,0.04
05-Feb-18,902.15,894.00,912.50,881.80,8.77M,0.00
06-Feb-18,892.10,877.00,898.00,871.00,11.00M,0.01
07-Feb-18,894.40,902.55,905.40,890.00,7.10M,0.00
08-Feb-18,904.55,897.90,910.65,892.35,6.32M,0.01
09-Feb-18,897.85,889.00,902.00,886.00,5.29M,0.01
12-Feb-18,915.50,903.00,918.20,902.05,5.43M,0.02
14-Feb-18,933.65,923.00,942.50,921.00,10.17M,0.02
15-Feb-18,935.65,937.65,945.75,928.15,6.11M,0.00
16-Feb-18,921.30,939.60,942.60,918.10,4.40M,0.02
19-Feb-18,927.00,921.00,932.00,913.55,4.09M,0.01
20-Feb-18,921.10,929.00,929.55,918.80,3.87M,0.01
21-Feb-18,929.35,930.00,932.50,922.15,5.45M,0.01
22-Feb-18,924.35,922.00,931.00,920.00,5.12M,0.01
23-Feb-18,934.25,925.40,938.00,922.75,4.85M,0.01
