Date,Price,Open,High,Low,Vol.,Change %
26-May-15,855.35,855.00,858.15,845.95,732.66K,0.34%
27-May-15,857.70,855.50,860.00,845.70,530.54K,0.27%
28-May-15,846.20,858.70,860.00,842.35,2.06M,-1.34%
29-May-15,859.55,847.50,860.70,843.10,3.79M,1.58%
1-Jun-15,880.80,859.55,883.50,852.45,950.34K,2.47%
2-Jun-15,852.75,884.00,884.65,850.90,928.60K,-3.18%
3-Jun-15,831.45,853.00,854.70,828.60,1.07M,-2.50%
4-Jun-15,822.65,833.50,835.00,820.05,1.27M,-1.06%
5-Jun-15,829.10,821.60,847.30,816.35,1.56M,0.78%
8-Jun-15,812.25,828.00,829.00,809.00,1.11M,-2.03%
9-Jun-15,819.75,807.00,828.55,806.10,769.06K,0.92%
10-Jun-15,820.45,818.25,825.00,814.00,959.27K,0.09%
11-Jun-15,816.70,820.00,836.50,816.00,1.26M,-0.46%
12-Jun-15,814.50,813.35,821.50,810.85,833.64K,-0.27%
15-Jun-15,821.75,814.00,827.45,808.45,626.62K,0.89%
16-Jun-15,834.95,818.10,839.35,817.30,864.77K,1.61%
17-Jun-15,862.05,840.00,868.85,840.00,2.57M,3.25%
18-Jun-15,862.60,862.00,868.00,857.10,1.23M,0.06%
19-Jun-15,857.70,851.10,864.90,844.85,1.38M,-0.57%
22-Jun-15,873.45,863.90,876.00,858.45,1.04M,1.84%
23-Jun-15,875.70,878.00,879.80,871.35,741.77K,0.26%
24-Jun-15,896.55,877.50,908.90,877.00,1.81M,2.38%
25-Jun-15,883.25,888.55,897.90,879.10,1.26M,-1.48%
26-Jun-15,887.95,884.00,891.40,875.00,758.67K,0.53%
29-Jun-15,900.40,872.00,905.00,868.35,1.22M,1.40%
30-Jun-15,916.70,907.00,923.10,906.00,2.32M,1.81%
1-Jul-15,918.30,916.70,926.00,912.00,1.46M,0.17%
2-Jul-15,923.45,919.80,929.20,912.00,962.65K,0.56%
3-Jul-15,924.50,922.00,929.50,917.05,512.93K,0.11%
6-Jul-15,927.45,917.00,930.00,914.65,595.19K,0.32%
7-Jul-15,924.35,921.60,927.40,915.60,715.70K,-0.33%
8-Jul-15,927.65,920.00,944.00,918.10,1.79M,0.36%
9-Jul-15,921.55,927.65,934.80,912.40,1.15M,-0.66%
10-Jul-15,900.25,924.50,924.50,891.30,2.20M,-2.31%
13-Jul-15,910.70,900.80,914.50,890.50,1.10M,1.16%
14-Jul-15,927.30,910.50,929.10,902.80,662.37K,1.82%
15-Jul-15,929.00,927.00,935.00,920.35,980.53K,0.18%
16-Jul-15,936.85,930.00,939.50,923.25,667.59K,0.84%
17-Jul-15,924.30,937.05,941.95,922.25,848.16K,-1.34%
20-Jul-15,913.10,924.00,931.50,909.05,738.51K,-1.21%
21-Jul-15,891.30,915.00,916.85,871.10,4.92M,-2.39%
22-Jul-15,920.50,894.00,923.00,891.15,1.43M,3.28%
23-Jul-15,904.25,919.00,919.00,895.20,1.05M,-1.77%
24-Jul-15,906.80,905.00,911.45,897.60,624.10K,0.28%
27-Jul-15,900.10,906.00,910.15,895.00,1.31M,-0.74%
28-Jul-15,904.75,893.25,916.00,891.50,1.65M,0.52%
29-Jul-15,899.20,906.15,919.05,897.00,1.33M,-0.61%
30-Jul-15,920.70,905.00,934.45,899.20,2.00M,2.39%
31-Jul-15,921.65,920.30,928.20,913.20,1.62M,0.10%
3-Aug-15,909.70,921.00,924.80,906.50,1.81M,-1.30%
4-Aug-15,908.10,910.50,914.45,900.05,2.73M,-0.18%
5-Aug-15,908.60,910.70,912.85,905.00,2.87M,0.06%
6-Aug-15,907.75,910.00,910.40,902.55,1.11M,-0.09%
7-Aug-15,904.85,907.75,909.05,900.90,849.34K,-0.32%
10-Aug-15,906.15,905.00,909.00,901.00,1.09M,0.14%
11-Aug-15,888.20,903.00,905.85,885.00,1.43M,-1.98%
12-Aug-15,866.35,889.00,889.00,859.60,1.41M,-2.46%
13-Aug-15,866.55,866.00,879.00,850.00,976.70K,0.02%
14-Aug-15,870.55,871.00,879.00,857.50,742.84K,0.46%
17-Aug-15,872.65,874.45,879.00,860.00,373.17K,0.24%
18-Aug-15,872.85,872.00,877.85,868.05,606.04K,0.02%
19-Aug-15,876.20,869.35,885.25,861.40,548.16K,0.38%
20-Aug-15,872.05,870.00,901.85,867.00,1.09M,-0.47%
21-Aug-15,884.15,867.00,888.00,860.95,1.43M,1.39%
24-Aug-15,851.15,865.35,880.00,844.95,2.39M,-3.73%
25-Aug-15,865.95,861.00,878.00,855.10,2.30M,1.74%
26-Aug-15,855.00,866.25,868.55,850.00,1.89M,-1.26%
27-Aug-15,857.80,860.65,864.45,851.00,2.09M,0.33%
28-Aug-15,854.50,870.00,870.50,852.00,1.43M,-0.38%
31-Aug-15,860.90,862.90,870.00,848.80,1.99M,0.75%
1-Sep-15,853.75,855.00,861.35,848.35,1.48M,-0.83%
2-Sep-15,830.60,857.00,862.40,824.20,1.46M,-2.71%
3-Sep-15,833.75,830.50,841.75,815.10,1.23M,0.38%
4-Sep-15,830.00,831.35,840.75,823.20,1.33M,-0.45%
7-Sep-15,819.85,831.00,834.00,817.40,868.62K,-1.22%
8-Sep-15,801.10,827.80,827.80,785.00,2.51M,-2.29%
9-Sep-15,803.05,806.00,812.45,790.90,1.52M,0.24%
10-Sep-15,790.15,801.00,801.00,777.60,2.65M,-1.61%
11-Sep-15,795.25,792.00,799.70,784.05,1.37M,0.65%
14-Sep-15,794.75,800.90,800.90,788.10,1.12M,-0.06%
15-Sep-15,804.65,794.75,808.65,791.15,1.24M,1.25%
16-Sep-15,806.85,811.00,811.80,796.75,1.00M,0.27%
18-Sep-15,797.85,807.00,816.80,793.00,3.20M,-1.12%
21-Sep-15,790.70,795.00,799.90,788.40,1.10M,-0.90%
22-Sep-15,785.90,792.00,796.85,783.20,1.90M,-0.61%
23-Sep-15,785.00,788.80,789.40,780.15,1.11M,-0.11%
24-Sep-15,781.70,789.00,789.00,776.25,2.63M,-0.42%
28-Sep-15,790.65,785.00,802.50,780.80,1.12M,1.14%
29-Sep-15,784.35,782.60,801.00,781.35,2.38M,-0.80%
30-Sep-15,814.75,799.80,818.00,787.00,2.32M,3.88%
1-Oct-15,816.40,817.80,827.25,811.20,903.86K,0.20%
5-Oct-15,809.80,820.55,824.00,801.00,1.34M,-0.81%
6-Oct-15,829.30,816.95,832.00,811.90,1.47M,2.41%
7-Oct-15,823.55,818.00,828.00,816.00,1.13M,-0.69%
8-Oct-15,821.90,827.00,831.95,817.50,673.06K,-0.20%
9-Oct-15,818.00,826.00,830.40,810.00,740.40K,-0.47%
12-Oct-15,814.85,819.00,822.50,807.35,760.38K,-0.39%
13-Oct-15,812.90,817.00,819.00,805.80,860.80K,-0.24%
14-Oct-15,797.20,814.05,815.00,787.00,3.48M,-1.93%
15-Oct-15,791.55,783.00,801.00,769.00,4.11M,-0.71%
16-Oct-15,784.65,788.00,790.90,782.00,2.12M,-0.87%
19-Oct-15,793.90,784.90,796.95,778.00,1.73M,1.18%
20-Oct-15,787.10,797.45,797.45,783.00,1.43M,-0.86%
21-Oct-15,790.35,788.00,794.45,787.00,879.89K,0.41%
23-Oct-15,800.20,795.00,805.60,791.25,1.96M,1.25%
26-Oct-15,808.60,802.80,810.00,800.65,754.38K,1.05%
27-Oct-15,812.15,806.75,814.85,799.20,876.43K,0.44%
28-Oct-15,818.50,811.60,820.50,807.90,1.12M,0.78%
29-Oct-15,801.45,811.00,818.00,799.20,1.56M,-2.08%
30-Oct-15,800.65,802.00,810.95,795.00,1.21M,-0.10%
2-Nov-15,802.75,799.25,804.85,791.55,553.60K,0.26%
3-Nov-15,804.45,805.00,808.50,801.20,349.30K,0.21%
4-Nov-15,801.00,806.80,818.10,799.20,945.88K,-0.43%
5-Nov-15,802.65,801.00,811.60,797.75,462.52K,0.21%
6-Nov-15,799.05,806.70,806.95,796.30,726.02K,-0.45%
9-Nov-15,802.60,794.00,807.00,784.00,1.25M,0.44%
10-Nov-15,803.55,802.00,809.60,793.40,880.29K,0.12%
11-Nov-15,807.95,805.80,809.90,804.05,111.23K,0.55%
13-Nov-15,796.70,792.35,799.50,792.35,1.03M,-1.39%
16-Nov-15,784.10,794.00,802.10,780.10,1.19M,-1.58%
17-Nov-15,798.30,785.90,800.00,782.00,792.59K,1.81%
18-Nov-15,793.50,798.00,806.85,790.45,721.76K,-0.60%
19-Nov-15,794.60,797.50,801.85,792.30,861.40K,0.14%
20-Nov-15,798.15,799.85,803.45,794.30,845.03K,0.45%
23-Nov-15,791.20,795.05,800.70,787.00,692.99K,-0.87%
24-Nov-15,811.95,794.00,813.50,790.75,1.19M,2.62%
26-Nov-15,812.45,814.70,821.50,808.15,1.28M,0.06%
27-Nov-15,816.20,812.50,820.75,808.00,897.45K,0.46%
30-Nov-15,808.45,813.50,826.00,804.10,2.96M,-0.95%
1-Dec-15,833.40,811.85,836.80,811.85,1.40M,3.09%
2-Dec-15,829.90,832.90,835.70,823.40,983.63K,-0.42%
3-Dec-15,816.60,827.85,827.90,814.00,680.10K,-1.60%
4-Dec-15,814.95,813.35,824.45,805.00,1.45M,-0.20%
