Date,Price,Open,High,Low,Vol.,Change %
19-Dec-13,427.02,432.20,432.20,421.85,6.15M,0.01
20-Dec-13,447.57,436.00,449.00,431.05,9.38M,0.05
23-Dec-13,448.12,449.50,454.50,445.00,7.40M,0.00
24-Dec-13,449.02,448.25,452.50,447.55,3.34M,0.00
26-Dec-13,443.77,447.25,450.00,441.05,6.68M,0.01
27-Dec-13,439.43,444.30,446.95,438.45,3.54M,0.01
30-Dec-13,443.55,440.50,444.93,437.93,4.72M,0.01
31-Dec-13,447.60,444.00,449.12,443.55,2.61M,0.01
01-Jan-14,444.40,448.73,449.12,443.80,2.67M,0.01
02-Jan-14,437.50,443.85,448.00,435.05,2.75M,0.02
03-Jan-14,432.12,435.80,436.68,427.50,5.87M,0.01
06-Jan-14,427.48,431.05,431.62,425.00,6.09M,0.01
07-Jan-14,421.05,427.30,429.98,420.02,7.91M,0.02
08-Jan-14,424.52,422.20,428.68,422.20,5.82M,0.01
09-Jan-14,425.35,425.23,426.90,422.52,3.80M,0.00
10-Jan-14,429.07,424.18,438.15,424.00,6.78M,0.01
13-Jan-14,440.20,434.12,441.50,434.00,5.51M,0.03
14-Jan-14,440.75,439.25,442.27,436.23,5.52M,0.00
15-Jan-14,442.73,442.35,447.50,440.50,5.79M,0.00
16-Jan-14,443.07,444.35,446.65,441.02,8.25M,0.00
17-Jan-14,442.38,444.57,448.45,440.12,7.07M,0.00
20-Jan-14,434.88,443.45,444.50,433.05,7.58M,0.02
21-Jan-14,431.52,436.32,436.80,431.00,4.48M,0.01
22-Jan-14,436.23,431.75,437.68,429.07,3.89M,0.01
23-Jan-14,432.90,430.30,435.65,430.30,6.29M,0.01
24-Jan-14,433.82,431.00,437.32,430.55,5.43M,0.00
27-Jan-14,421.57,428.00,430.40,420.18,5.64M,0.03
28-Jan-14,422.43,423.50,428.00,421.35,5.29M,0.00
29-Jan-14,418.30,424.90,426.25,417.50,5.66M,0.01
30-Jan-14,412.50,415.70,416.93,411.10,6.45M,0.01
31-Jan-14,415.57,413.50,416.73,413.07,5.05M,0.01
03-Feb-14,410.45,413.10,414.90,409.73,3.76M,0.01
04-Feb-14,410.77,407.25,413.32,406.57,5.65M,0.00
05-Feb-14,408.62,410.05,410.75,403.45,5.17M,0.01
06-Feb-14,407.93,410.00,412.05,404.07,4.95M,0.00
07-Feb-14,407.23,411.05,411.90,405.30,3.87M,0.00
10-Feb-14,410.98,407.62,412.80,405.57,4.73M,0.01
11-Feb-14,402.62,411.50,412.50,401.38,5.76M,0.02
12-Feb-14,408.95,404.00,410.95,403.70,4.49M,0.02
13-Feb-14,403.70,409.45,409.45,402.52,3.96M,0.01
14-Feb-14,411.02,405.95,412.00,404.00,4.21M,0.02
17-Feb-14,406.15,408.82,411.00,403.52,4.14M,0.01
18-Feb-14,406.57,403.55,408.93,403.55,2.62M,0.00
19-Feb-14,406.12,406.50,410.00,405.00,2.80M,0.00
20-Feb-14,402.73,405.65,406.85,401.55,3.68M,0.01
21-Feb-14,405.75,403.55,408.00,402.80,2.86M,0.01
24-Feb-14,406.18,404.02,407.48,402.65,3.11M,0.00
25-Feb-14,405.27,407.15,408.00,403.77,3.22M,0.00
26-Feb-14,405.35,405.50,408.43,404.12,6.22M,0.00
28-Feb-14,399.98,405.35,407.68,396.55,8.66M,0.01
03-Mar-14,401.70,400.05,403.40,398.57,5.32M,0.00
04-Mar-14,406.48,401.50,407.32,401.30,4.11M,0.01
05-Mar-14,403.50,407.77,409.00,402.57,5.41M,0.01
06-Mar-14,411.23,404.68,412.20,404.65,4.65M,0.02
07-Mar-14,434.70,412.50,437.00,412.50,15.36M,0.06
10-Mar-14,442.73,432.55,451.82,431.70,15.03M,0.02
11-Mar-14,437.38,442.50,443.90,436.05,5.84M,0.01
12-Mar-14,435.68,437.00,441.45,433.82,4.31M,0.00
13-Mar-14,439.77,437.50,447.38,437.35,7.87M,0.01
14-Mar-14,443.07,437.00,444.98,434.52,7.56M,0.01
18-Mar-14,448.23,444.75,454.40,444.75,8.70M,0.01
19-Mar-14,451.50,450.00,454.95,447.62,7.49M,0.01
20-Mar-14,453.00,450.80,453.75,449.07,13.58M,0.00
21-Mar-14,442.90,453.50,456.68,441.07,10.08M,0.02
22-Mar-14,444.07,443.80,444.93,441.77,463.02K,0.00
24-Mar-14,452.70,445.62,454.38,445.55,13.17M,0.02
25-Mar-14,439.65,439.50,441.25,436.25,14.31M,0.03
26-Mar-14,445.60,440.62,451.48,440.57,6.31M,0.01
27-Mar-14,450.38,447.43,452.45,446.05,25.33M,0.01
28-Mar-14,458.07,450.00,459.98,450.00,8.53M,0.02
31-Mar-14,465.38,458.12,469.90,456.60,8.57M,0.02
01-Apr-14,471.30,468.00,472.50,464.65,7.15M,0.01
02-Apr-14,479.10,472.50,481.00,469.05,12.24M,0.02
03-Apr-14,476.32,478.40,481.48,470.20,12.14M,0.01
04-Apr-14,472.12,476.00,476.62,470.77,5.72M,0.01
07-Apr-14,472.07,472.00,477.48,467.18,5.90M,0.00
09-Apr-14,481.07,475.00,483.35,473.57,6.14M,0.02
10-Apr-14,484.52,482.35,486.95,481.10,4.87M,0.01
11-Apr-14,476.88,481.15,485.52,475.30,5.35M,0.02
15-Apr-14,474.55,475.00,477.00,468.30,4.24M,0.00
16-Apr-14,470.65,473.25,479.50,469.05,5.66M,0.01
17-Apr-14,479.55,472.50,480.90,471.90,3.59M,0.02
21-Apr-14,479.80,484.98,484.98,478.05,5.40M,0.00
22-Apr-14,483.88,480.00,494.38,478.05,8.84M,0.01
23-Apr-14,483.57,484.50,491.00,482.12,6.99M,0.00
25-Apr-14,474.12,484.00,484.50,473.00,6.06M,0.02
28-Apr-14,472.50,474.90,478.00,470.68,7.59M,0.00
29-Apr-14,470.15,473.02,475.88,469.00,3.84M,0.01
30-Apr-14,467.90,471.95,480.00,464.55,6.58M,0.00
02-May-14,464.05,470.00,473.70,463.00,4.15M,0.01
05-May-14,473.43,462.50,479.25,462.50,6.95M,0.02
06-May-14,481.68,473.95,483.50,473.77,5.67M,0.02
07-May-14,480.43,480.05,485.70,478.52,4.83M,0.00
08-May-14,480.15,481.55,485.05,475.38,5.46M,0.00
09-May-14,498.80,477.90,499.50,477.90,8.44M,0.04
12-May-14,514.35,497.45,524.50,497.05,14.10M,0.03
13-May-14,531.70,520.00,534.40,517.25,12.28M,0.03
14-May-14,522.75,532.00,534.00,520.55,8.86M,0.02
15-May-14,526.70,522.75,530.00,519.62,9.54M,0.01
16-May-14,539.62,545.05,572.62,531.05,24.06M,0.02
19-May-14,560.02,545.50,562.38,543.45,10.88M,0.04
20-May-14,539.92,563.95,564.50,537.85,10.29M,0.04
21-May-14,539.20,539.92,551.48,536.88,10.05M,0.00
22-May-14,550.40,543.00,556.70,542.35,8.57M,0.02
23-May-14,563.73,555.77,566.00,551.00,7.57M,0.02
26-May-14,550.85,566.25,570.00,537.50,7.35M,0.02
27-May-14,543.98,551.50,554.00,537.55,5.15M,0.01
28-May-14,544.45,544.80,553.30,542.38,5.19M,0.00
29-May-14,536.77,546.25,546.70,534.17,12.64M,0.01
30-May-14,532.35,542.50,544.85,530.00,7.91M,0.01
02-Jun-14,541.10,537.38,544.12,532.65,4.03M,0.02
03-Jun-14,547.70,541.65,551.00,538.67,4.97M,0.01
04-Jun-14,538.75,546.33,550.90,538.12,4.04M,0.02
24-Jun-14,529.92,522.50,531.40,522.50,5.44M,0.02
25-Jun-14,525.50,528.83,529.67,524.08,4.83M,0.01
26-Jun-14,505.95,512.50,513.45,503.35,11.19M,0.04
27-Jun-14,506.05,505.00,511.75,503.60,4.22M,0.00
30-Jun-14,507.70,506.27,510.00,500.00,9.44M,0.00
01-Jul-14,504.00,508.60,510.27,503.48,4.41M,0.01
02-Jul-14,509.12,508.50,513.67,506.00,5.62M,0.01
03-Jul-14,503.25,510.00,512.50,501.75,5.29M,0.01
04-Jul-14,515.98,502.50,518.40,501.65,5.92M,0.03
07-Jul-14,513.60,516.50,518.50,510.50,6.41M,0.00
08-Jul-14,497.52,513.00,517.25,495.00,7.99M,0.03
09-Jul-14,500.48,501.00,504.95,496.25,6.81M,0.01
10-Jul-14,498.60,500.12,510.75,490.52,8.50M,0.00
11-Jul-14,483.25,497.60,501.00,481.82,8.13M,0.03
14-Jul-14,480.88,484.30,487.45,479.25,6.29M,0.00
15-Jul-14,486.10,481.70,490.00,481.52,7.02M,0.01
16-Jul-14,494.85,487.00,496.50,487.00,6.38M,0.02
17-Jul-14,491.25,494.00,499.10,490.15,4.31M,0.01
18-Jul-14,488.38,490.00,491.77,484.65,4.27M,0.01
21-Jul-14,498.82,500.00,504.00,497.52,7.77M,0.02
22-Jul-14,515.48,502.00,516.95,500.55,13.02M,0.03
23-Jul-14,516.62,517.52,519.90,510.52,6.27M,0.00
24-Jul-14,520.52,515.00,521.60,512.00,4.42M,0.01
25-Jul-14,510.93,520.95,521.65,503.52,6.19M,0.02
28-Jul-14,502.80,510.50,511.77,500.80,4.28M,0.02
30-Jul-14,503.07,502.00,505.50,496.50,8.51M,0.00
31-Jul-14,503.23,503.98,509.95,501.00,8.10M,0.00
01-Aug-14,488.15,497.50,499.50,487.50,7.24M,0.03
04-Aug-14,492.50,490.50,494.85,488.02,6.71M,0.01
05-Aug-14,491.93,492.55,493.93,485.50,5.59M,0.00
06-Aug-14,494.07,492.45,499.30,489.75,7.48M,0.00
07-Aug-14,494.65,494.50,498.35,491.68,4.96M,0.00
08-Aug-14,490.25,489.77,491.75,486.55,4.17M,0.01
11-Aug-14,490.25,492.57,493.62,488.70,3.06M,0.00
12-Aug-14,492.20,493.00,493.48,488.18,4.37M,0.00
13-Aug-14,495.07,491.65,498.30,490.00,6.45M,0.01
14-Aug-14,501.48,497.50,502.50,495.88,5.51M,0.01
18-Aug-14,506.52,500.55,507.73,498.75,3.49M,0.01
19-Aug-14,504.65,507.50,511.50,503.05,6.66M,0.00
20-Aug-14,499.18,505.50,509.23,497.68,5.95M,0.01
21-Aug-14,497.55,500.00,502.00,495.05,7.52M,0.00
22-Aug-14,499.15,500.05,503.50,497.65,3.92M,0.00
25-Aug-14,497.90,500.00,504.25,496.73,3.41M,0.00
26-Aug-14,496.68,498.00,498.48,491.50,4.37M,0.00
27-Aug-14,496.85,498.60,500.90,493.43,3.84M,0.00
28-Aug-14,499.35,497.30,502.00,497.30,7.28M,0.01
01-Sep-14,507.05,502.18,510.50,497.80,7.40M,0.02
02-Sep-14,511.90,509.25,515.77,505.30,7.57M,0.01
03-Sep-14,515.62,512.58,517.98,510.55,10.02M,0.01
04-Sep-14,512.95,514.50,516.95,509.05,4.27M,0.01
05-Sep-14,512.83,513.85,516.73,510.30,4.15M,0.00
08-Sep-14,518.85,516.95,519.67,514.00,6.35M,0.01
09-Sep-14,516.50,516.05,520.65,514.10,4.19M,0.00
10-Sep-14,507.93,514.08,514.55,506.30,4.32M,0.02
11-Sep-14,509.70,510.15,515.00,504.00,4.85M,0.00
12-Sep-14,507.80,509.25,512.00,505.73,4.00M,0.00
15-Sep-14,501.38,504.55,506.00,500.50,3.99M,0.01
16-Sep-14,489.70,500.70,502.07,488.25,6.05M,0.02
17-Sep-14,494.32,492.45,495.27,489.48,4.98M,0.01
18-Sep-14,502.45,492.50,505.00,491.85,4.16M,0.02
19-Sep-14,497.73,503.00,507.90,495.50,7.85M,0.01
22-Sep-14,495.77,496.50,498.00,493.85,3.61M,0.00
23-Sep-14,482.93,495.85,497.73,481.52,8.09M,0.03
24-Sep-14,482.52,484.25,487.05,477.70,7.04M,0.00
25-Sep-14,464.93,483.05,483.90,461.32,15.13M,0.04
26-Sep-14,466.62,464.50,470.82,458.65,7.27M,0.00
29-Sep-14,466.57,468.48,471.35,464.80,5.71M,0.00
30-Sep-14,472.85,464.00,474.23,462.52,8.07M,0.01
01-Oct-14,463.60,471.80,472.80,463.00,3.96M,0.02
07-Oct-14,463.07,463.62,467.45,461.73,5.67M,0.00
08-Oct-14,468.35,460.57,470.75,460.57,4.49M,0.01
09-Oct-14,477.32,469.10,478.62,469.10,5.10M,0.02
10-Oct-14,480.32,473.50,484.50,468.05,7.07M,0.01
13-Oct-14,478.95,480.90,482.38,474.02,6.35M,0.00
14-Oct-14,480.62,489.50,489.50,479.30,8.72M,0.00
16-Oct-14,465.50,475.82,478.45,464.00,8.69M,0.03
17-Oct-14,468.95,468.00,470.32,462.60,7.00M,0.01
20-Oct-14,467.52,469.25,470.30,455.77,9.69M,0.00
21-Oct-14,464.68,467.12,468.50,463.55,8.06M,0.01
22-Oct-14,472.82,467.55,475.40,466.57,6.12M,0.02
23-Oct-14,476.35,474.75,477.25,474.50,1.13M,0.01
27-Oct-14,470.68,481.98,481.98,468.40,4.60M,0.01
28-Oct-14,467.02,470.55,471.00,463.05,10.07M,0.01
29-Oct-14,475.80,468.30,476.70,467.07,8.01M,0.02
30-Oct-14,489.62,474.00,490.77,473.55,14.97M,0.03
31-Oct-14,500.27,490.93,501.85,490.93,6.44M,0.02
03-Nov-14,501.18,502.00,504.50,495.07,5.66M,0.00
05-Nov-14,495.65,501.00,504.25,494.20,7.19M,0.01
07-Nov-14,490.25,495.23,497.68,489.02,5.32M,0.01
10-Nov-14,484.68,491.40,494.90,483.62,4.79M,0.01
11-Nov-14,488.85,486.20,493.90,483.12,4.62M,0.01
12-Nov-14,487.02,490.98,491.50,484.35,4.25M,0.00
13-Nov-14,484.62,487.00,489.90,481.70,3.22M,0.00
14-Nov-14,484.57,484.50,488.88,482.52,3.85M,0.00
17-Nov-14,492.60,483.00,493.77,483.00,4.67M,0.02
18-Nov-14,494.32,492.73,498.85,492.60,6.13M,0.00
19-Nov-14,489.07,494.32,496.00,488.25,3.70M,0.01
20-Nov-14,490.38,489.00,491.85,485.15,5.19M,0.00
21-Nov-14,498.85,490.10,500.50,490.10,5.37M,0.02
24-Nov-14,492.68,500.10,502.07,490.85,5.68M,0.01
25-Nov-14,496.50,492.55,497.45,486.65,6.68M,0.01
26-Nov-14,493.52,495.98,496.50,491.30,6.01M,0.01
27-Nov-14,494.32,495.00,496.50,491.52,5.61M,0.00
28-Nov-14,495.80,494.85,508.68,491.60,9.55M,0.00
01-Dec-14,480.80,494.50,495.98,479.27,7.95M,0.03
02-Dec-14,481.32,481.00,485.62,479.00,4.32M,0.00
03-Dec-14,484.18,479.27,487.00,479.27,4.48M,0.01
04-Dec-14,479.27,484.05,487.48,477.85,4.93M,0.01
05-Dec-14,478.68,480.50,483.50,477.55,4.59M,0.00
08-Dec-14,472.30,480.00,481.43,471.12,4.68M,0.01
09-Dec-14,469.93,470.50,475.35,465.50,4.85M,0.01
10-Dec-14,466.27,465.73,470.48,465.00,6.05M,0.01
11-Dec-14,453.07,464.50,464.50,451.68,10.34M,0.03
12-Dec-14,441.18,453.50,455.50,439.68,8.17M,0.03
15-Dec-14,439.40,438.98,440.90,436.00,5.78M,0.00
16-Dec-14,432.30,438.40,441.62,429.85,9.55M,0.02
17-Dec-14,434.75,432.62,437.45,432.23,9.50M,0.01
18-Dec-14,440.05,440.77,442.40,432.32,6.84M,0.01
19-Dec-14,450.27,442.55,454.20,441.25,9.18M,0.02
22-Dec-14,452.45,451.00,453.40,445.50,3.80M,0.00
